sorted,word,full text,candidates
"(ancient (n.)_E, ancient-bearer_E)",ancient (n.),"""standard-bearer,"" 1590s, short for ancient-bearer (1570s), from ancient ""flag, banner, standard"" (1550s), a corruption of ensign (q.v.). Archaic, but preserved in Shakespeare's character Aunchient Pistoll in ""Henry V.""","ancient-bearer,ancient,ensign,Aunchient Pistoll"
"(ache (v.)_E, acan_OE);(acan_OE, *akanan_PGer);(*akanan_PGer, *ag-es-_PIE)",ache (v.),"Old English acan ""suffer continued pain,"" from Proto-Germanic *akanan, perhaps from a PIE root *ag-es- ""fault, guilt,"" represented also in Sanskrit and Greek, which is perhaps imitative of groaning.

Originally the verb was pronounced ""ake,"" the noun ""ache"" (as in speak/speech). The noun changed pronunciation to conform to the verb, but the spelling of both was changed to ache c. 1700 on a false assumption of a Greek origin (specifically Greek akhos ""pain, distress,"" which rather is a distant relation of awe (n.)). Related: Ached; aching.","acan,*akanan,*ag-es-,speak,speech,ache,akhos,awe,Ached,aching"
"(ache (n.)_E, æche_E);(æche_E, ece_E);(æche_E, æce_OE);(æce_OE, *akiz_PGer)",ache (n.),"""continuing pain,"" early 15c., æche, ece ""an ache, pain,"" from Old English æce, from Proto-Germanic *akiz, from same source as ache (v.), which see for the unusual evolution of spelling and pronunciation.","æche,ece,æce,*akiz,ache"
"(accipiter_E, accipiter_L)",accipiter,"raptorial bird, 1874, from Latin accipiter, a generic name for birds of prey, especially the common hawk. According to de Vaan, ""generally assumed"" to be from a Proto-Italic *aku-petri- ""having pointed (that is, 'swift') wings"" (see acro- + ptero-) and compares Greek okypteros ""with swift wings,"" Sanskrit asu-patvan- ""flying swiftly,"" ""all of which are used as epithets to birds of prey."" Under this theory the initial acc- is by influence of the verb accipere ""to take"" (whence also Latin acceptor ""falcon;"" see accept). Or the sense could be literal, ""with pointed wings."" The proper plural would be accipitres. Related: Accipitral; accipitrine (1809).","accipiter,*aku-petri-,acro-,ptero-,okypteros,asu-patvan-,acc-,accipere,acceptor,accept,accipitres,Accipitral,accipitrine"
"(apotheosize_E, apotheosis_E, -ize_E)",apotheosize,"""exalt to godhood, deify,"" 1760; see apotheosis + -ize. Related: Apotheosized; apotheosizing. Earlier in same sense was apotheose (1670s).","apotheosis,-ize,Apotheosized,apotheosizing,apotheose"
"(Andromeda_E, Andromece_E);(Andromece_E, andros_G, medesthai_G);(andros_G, aner_G);(aner_G, *ner- (2)_PIE);(medesthai_G, medea_G)",Andromeda,"northern constellation, 1667 (earlier Andromece, mid-15c.), from Greek, literally ""mindful of her husband,"" from andros, genitive of aner ""man"" (from PIE root *ner-(2) ""man"") + medesthai ""to be mindful of, think on,"" related to medea (neuter plural) ""counsels, plans, devices, cunning"" (and source of the name Medea). In classical mythology the daughter of Cepheus and Cassiopeia, she was bound to a rock to be destroyed by the sea monster Cetus, but was rescued by Perseus, mounted on Pegasus. The whole group was transferred to the Heavens (except the rock).","Andromece,andros,aner,*ner-,medesthai,medea,Medea"
"(affordable_E, afford_E, -able_E)",affordable,"1804, ""that can be spared;"" 1853, ""that can be paid for,"" from afford + -able. Related: Affordably (1969); affordability (1910).","afford,-able,Affordably,affordability"
"(ate_E, eat_href)",ate,past tense of eat (q.v.).,eat
"(Ate_E, ate_E)",Ate,"Greek goddess or personification of infatuation and blundering mischief, from ate ""damage, ruin; guilt; blindness, dazzlement, infatuation; penalty, fine,"" which is of uncertain origin.",ate
"(appreciated_E, appreciate (v.)_E)",appreciated,"1794, ""enhanced in value;"" by 1831 as ""received with gratitude;"" past-participle adjective from appreciate (v.).",appreciate
"(aforethought_E, afore_E, think_E)",aforethought,"""premeditated,"" a legal word, 1580s, from afore + past tense of think. Apparently an English loan-translation of the Old French legalese word prepense (see prepense) in the phrase malice prepense ""malice aforethought"" (Coke).","afore,think,prepense,prepense,malice prepense"
"(availment_E, avail (v.)_E, -ment_E)",availment,"""successful issue; fact of being effective,"" 1690s, from avail (v.) + -ment.","avail,-ment"
"(ambage_E, ambages_OF);(ambages_OF, ambages_L)",ambage,"late 14c., ""winding or roundabout way, especially in speaking,"" usually plural, from Old French ambages, from Latin ambages ""circumlocutions"" (see ambagious).","ambages,ambages,ambagious"
"(antalgic_E, ant-_G, algos_G, -ic_E);(ant-_G, anti-_G)",antalgic,"""alleviating pain,"" 1775, from Greek ant-, form of anti- used before vowels (see anti-), + algos ""pain"" (see -algia) + -ic. As a noun, ""preparation which alleviates pain,"" 1753.","ant-,anti-,anti-,algos,-algia,-ic"
"(apterous_E, a- (3)_E)_href, pterous_E);(pterous_E, pteryx_G);(pteryx_G, *pet-_GPIE)",apterous,"""wingless,"" 1775, from a- ""not, without"" (see a- (3)) + pterous, from Greek pteryx ""wing"" (from PIE root *pet- ""to rush, to fly"").","a-,a-,pterous,pteryx,*pet-"
"(aria_E, aria_I)",aria,"""melody for a single voice,"" from Italian aria, literally ""air"" (see air (n.1)).Historically considered, the aria marks a single moment in the course of a dramatic action. The text often consists of but a few words, many times repeated (as we find in Handel's oratorios, etc.), and the musical development is the main thing. The opposite of aria is recitative (q.v.), in which the declamation of the syllables is the main thing, colored, perhaps, by means of clever orchestration. [W.S.B. Mathews and Emil Liebling, ""Dictionary of Music,"" 1896]","aria,air,aria,recitative (q.v.)"
"(apperceive_E, apercevoir_OFOF);(apercevoir_OFOF, ad_L percipere_L)",apperceive,"c. 1300, ""to perceive, notice,"" especially of internal observation (a sense now obsolete), from Old French apercevoir ""perceive, notice, become aware of"" (11c.), from Latin ad ""to"" (see ad-) + percipere ""gather, seize entirely,"" also, figuratively, ""to grasp with the mind, learn, comprehend"" (see perceive. In modern psychological use (1876), a back-formation from apperception (q.v.). Related: Apperceived; apperceiving; apperceptive.","apercevoir,ad,ad-,percipere,perceive,apperception,Apperceived,apperceiving,apperceptive"
"(arsenal_E, arzenale_I);(arzenale_I, dar as-sina’ah_Arab);(dar as-sina’ah_Arab, dar_A, sina’ah_Arab);(sina’ah_Arab, sana’a_Arab)",arsenal,"c. 1500, ""dockyard, dock with naval stores,"" from Italian arzenale, from Arabic dar as-sina'ah ""workshop,"" literally ""house of manufacture,"" from dar ""house"" + sina'ah ""art, craft, skill,"" from sana'a ""he made.""

Applied by the Venetians to a large wharf in their city, which was the earliest reference of the English word. Sense of ""public place for making or storing weapons and ammunition"" is from 1570s. The London football club (1886) was named for the Royal Arsenal, Woolwich, where the original players worked.","arzenale,dar as-sina'ah,dar,sina'ah,sana'a,Royal Arsenal"
"(a.s.a.p._E, as soon as possible_E)",a.s.a.p.,"also asap, adverbial phrase pronounced either as a word (acronym) or as four letters (initialism), 1955, from initial letters of phrase as soon as possible; originally U.S. Army jargon.","asap,as soon as possible"
"(Audrey_E, Aldreda_E);(Aldreda_E, Etheldreda_E);(Etheldreda_E, Æðelðryð_OE);(Æðelðryð_OE, æðele_OE, ðryð_OE)",Audrey,"fem. proper name, 13c., from earlier Aldreda (11c.), contracted from Etheldreda, a Latinized form of Old English Æðelðryð, literally ""noble might,"" from æðele ""noble"" (see atheling) + ðryð ""strength, might."" Popularized by the reputation of Saint Etheldreda, queen of Northumbria and foundress of the convent at Ely.","Aldreda,Etheldreda,Æðelðryð,æðele,atheling,ðryð,Etheldreda"
"(Aramaic_E, Aramaia_G)",Aramaic,"1824, in reference to the northern branch of the Semitic language group, from Greek Aramaia, the biblical land of 'Aram, roughly corresponding to modern Syria. The place name probably is related to Hebrew and Aramaic rum ""to be high,"" thus originally ""highland."" As a noun, ""the Aramaic langue,"" from 1833; Aramaic was the lingua franca of the Assyrian empire, the official language of the Persian kingdom, and the daily language of the Jews at the time of Christ.","Aramaia,'Aram,rum,lingua franca"
"(Asiago_E, Schlägen_G)",Asiago,"type of Italian cheese, by 1922, named for town of Asiago (German Schlägen) in the Veneto region of Italy.","Asiago,Schlägen"
"(angio-_E, angi-_E);(angi-_E, angeion_G);(angeion_G, angos_G)",angio-,"before vowels angi-, word-forming element meaning ""vessel of the body,"" now often ""covered or enclosed by a seed or blood vessel,"" from Latinized form of Greek angeion ""case, capsule, vessel of the body,"" diminutive of angos ""vessel, jar, vat, vase,"" which is of unknown origin. Beekes says ""Possibly a Mediterranean loanword ..., as kitchen utensils are often borrowed.""","angi-,angeion,angos"
"(appurtenance_E, apurtenance_AF);(apurtenance_F, apartenance/apertenance_OF);(apartenance/apertenance_OF, apartenir_OF);(apartenir_OF, appertinere_LateL);(appertinere_LateL, ad_L pertinere_L)",appurtenance,"c. 1300, ""right, privilege or possession subsidiary to a principal one,"" especially in law, ""a right, privilege, or improvement belonging to a property,"" from Anglo-French apurtenance (12c.), Old French apartenance, apertenance, present participle of apartenir ""be related to,"" from Late Latin appertinere ""to pertain to, belong to,"" from Latin ad ""to"" (see ad-) + pertinere ""belong; be the right of"" (see pertain).","apurtenance,apartenance,apertenance,apartenir,appertinere,ad,ad-,pertinere,pertain"
"(Austria_E, Marchia austriaca_MediL)",Austria,"central European nation, from Medieval Latin Marchia austriaca ""eastern borderland."" German Österreich is ""eastern kingdom,"" from Old High German ostar ""eastern"" (from Proto-Germanic *aust- ""east,"" literally ""toward the sunrise,"" from PIE root *aus- (1) ""to shine,"" especially of the dawn) + reich ""kingdom, realm, state"" (from Proto-Germanic *rikja ""rule,"" from PIE root *reg- ""move in a straight line,"" with derivatives meaning ""to direct in a straight line,"" thus ""to lead, rule""). So called for being on the eastern edge of Charlemagne's empire. Related: Austrian.","Marchia austriaca,Österreich,ostar,*aust-,*aus-,reich,*rikja,*reg-,Austrian"
"(acidify_E, acid (adj.)_E, -ify_E)",acidify,1784 (implied in acidifying); see acid (adj.) + -ify. Related: Acidified.,"acidifying,acid,-ify,Acidified"
"(accusatory_E, accusatorius_L);(accusatorius_L, accusare_L)",accusatory,"c. 1600, ""containing an accusation,"" from Latin accusatorius ""of a prosecutor, relating to prosecution; making a complaint,"" from accusare ""call to account, make complaint against"" (see accuse). Related: Accusatorial (1801).","accusatorius,accusare,accuse,Accusatorial"
"(annunciation_E, anunciacioun_AF);(anunciacioun_AF, anonciacion_OF);(anonciacion_F, annuntiationem_L);(annuntiationem_L, annuntiare_L)",annunciation,"early 14c., ""Lady-day, Church festival commemorating announcement of the incarnation of Christ,"" from Anglo-French anunciacioun, Old French anonciacion ""announcement, news; Feast of the Annunciation,"" from Latin annuntiationem (nominative annuntiatio), noun of action from past-participle stem of annuntiare ""announce, relate"" (see announce).
General sense of ""an announcing"" is from 1560s. The Church festival (March 25) commemorates the visit of the angel Gabriel to the Virgin Mary, foretelling the incarnation. Old English for ""Annunciation Day"" was bodungdæg.","anunciacioun,anonciacion,annuntiationem,annuntiatio,annuntiare,announce,bodungdæg"
"(anyhow_E, any_E, how (adv.)_E)",anyhow,"1740, ""in any way or manner,"" from any + how (adv.). Unlike most other any + (interrogative) compounds, there is no record of it in Old or Middle English. Compare anyway (16c.). Also used as a conjunction, ""in any case."" Emphatic form any old how is recorded from 1900, American English.","any,how,any,anyway,any old how"
"(alias (adv.)_E, alias_L);(alias_L, alius_L);(alius_L, *al- (1)_PGerPIE)",alias (adv.),"mid-15c., ""otherwise called,"" from Latin alias (adv.) ""at another time,"" in Late Latin also ""in another way, under other circumstances,"" from alius ""another, other, different,"" from PIE root *al- (1) ""beyond,"" which is the source also of English else.","alias,alius,*al-,else"
"(alias (n.)_E, alias (adv.)_E)",alias (n.),"""assumed name,"" c. 1600, from alias (adv.).",alias
"(aqualung_E, aqua-_E, lung_E)",aqualung,"""portable air tanks and apparatus for breathing underwater,"" 1950, from aqua- + lung. Developed 1943 by Jacques Cousteau and Emile Gagnan.","aqua-,lung"
"(anchorman_E, anchor (n.)_E, man (n.)_E)",anchorman,"""last man of a tug-of-war team,"" 1903, from anchor (n.) + man (n.). Later, ""one who runs last in a relay race"" (1934). Transferred sense ""host or presenter of a TV or radio program"" is from 1958.","anchor,man"
"(anthropologist_E, anthropology_E, -ist_E)",anthropologist,"""student or expert in anthropology,"" 1798, from anthropology + -ist. Attested from 1783 in German.","anthropology,-ist"
"(attendance_E, atendance_OF);(atendance_F, atendant_OF);(atendant_OF, atendre_OF)",attendance,"late 14c., ""act of attending to one's duties"" (archaic), from Old French atendance ""attention, wait, hope, expectation,"" from atendant, present participle of atendre ""expect, wait for; pay attention"" (see attend). Meaning ""action of waiting on someone"" dates from late 14c. (to dance attendance on someone is from 1560s); that of ""action of being present, presenting oneself"" (originally with intent of taking a part) is from mid-15c. Meaning ""number of persons present"" is from 1835. To take attendance in a classroom or lecture is by 1891.","atendance,atendant,atendre,attend,dance attendance on,take attendance"
"(anthro-_E, anthropo-_href)",anthro-,see anthropo-.,anthropo-
"(anarchist_E, anarchy_E, -ist_E)",anarchist,"1670s, ""one who denies the validity of ruling power;"" see anarchy + -ist. The word got a boost during the French Revolution; in 19c. it was used both of ""one who advocates absence of government as a political ideal"" (philosophical or scientific anarchism) and ""one who seeks to overthrow violently all forms and institutions of society and government with no intention of establishing others.""","anarchy,-ist,philosophical,scientific anarchism"
